Line,Pre-Weight,Recipe,Location,Wet Weight,Wet Result,Wet Pass/Fail,Dry Weight,WPP,Pass/Fail,Passes,Flow,Size
S006,43.832,38,D,44.673,832,PASS,44.658,286,1,142,96.893,38
S006,44.434,38,B,45.273,830,PASS,45.26,286,1,142,115.381,38
S006,43.952,38,B,44.812,851,PASS,44.799,293,1,142,114.951,38
S006,44.561,38,D,45.432,862,PASS,45.415,296,1,142,96.912,38
S006,43.619,38,D,44.467,839,PASS,44.448,287,1,142,96.888,38
S006,43.814,38,A,44.677,854,PASS,44.661,293,1,146,87.851,38
S006,43.85,38,A,44.697,838,PASS,44.679,287,1,146,87.848,38
S006,44.366,38,A,45.197,823,PASS,45.177,281,1,146,87.868,38
S006,44.436,38,D,45.299,854,PASS,45.279,292,1,146,87.85,38
S006,43.75,38,B,44.58,822,PASS,44.561,281,1,146,83.152,38
S006,43.812,38,B,44.617,797,FAIL,44.598,272,1,146,84.368,38
S006,44.371,38,B,45.134,755,FAIL,45.132,264,0,146,84.432,38
S006,44.015,38,D,44.861,837,PASS,44.844,287,1,146,87.847,38
S006,43.311,38,D,44.145,826,PASS,44.125,282,1,146,87.86,38
S006,43.852,38,D,44.705,844,PASS,44.688,290,1,146,87.856,38
S006,43.604,38,C,44.436,824,PASS,44.429,286,1,146,86.325,38
S006,44.477,38,C,45.219,734,FAIL,45.207,253,0,146,84.416,38
S006,44.33,38,C,45.111,773,FAIL,45.103,268,0,146,83.11,38
S006,43.942,38,C,44.802,851,PASS,44.782,291,1,146,84.411,38
S006,44.514,38,C,45.334,812,PASS,45.319,279,1,146,83.143,38
S006,43.793,38,A,44.673,871,PASS,44.661,301,1,142,96.917,38
S006,44.022,38,B,44.89,859,PASS,44.875,296,1,142,115.878,38
S006,44.437,38,B,45.306,860,PASS,45.287,294,1,142,115.873,38
S006,43.945,38,D,44.756,803,FAIL,44.74,275,1,142,96.885,38
S006,44.522,38,C,45.448,917,FAIL,45.429,314,0,142,115.86,38
S006,44.499,38,A,45.24,733,FAIL,45.235,255,0,142,96.892,38
S006,44.561,38,A,45.381,812,PASS,45.361,277,1,142,96.904,38
S006,44.31,38,D,45.142,824,PASS,45.124,282,1,142,96.897,38
S006,43.764,38,B,44.656,883,PASS,44.628,299,1,142,114.957,38
S006,43.755,38,D,44.601,837,PASS,44.588,289,1,142,96.898,38
S006,43.722,38,B,44.579,848,PASS,44.559,290,1,142,115.892,38
S006,44.082,38,D,44.915,825,PASS,44.898,283,1,142,96.91,38
S006,44.268,38,B,45.134,857,PASS,45.124,297,1,142,115.877,38
S006,44.425,38,C,45.288,854,PASS,45.274,294,1,142,114.94,38
S006,43.584,38,C,44.499,906,FAIL,44.476,309,1,142,114.816,38
S006,44.304,38,C,45.158,845,PASS,45.139,289,1,142,114.844,38
S006,44.353,38,B,45.183,822,PASS,45.167,282,1,146,86.371,38
S006,44.384,38,B,45.192,800,FAIL,45.177,275,1,146,86.363,38
S006,44.403,38,B,45.215,804,FAIL,45.195,274,1,146,86.377,38
S006,44.225,38,C,45.068,834,PASS,45.053,287,1,146,86.361,38
S006,43.545,38,C,44.45,896,FAIL,44.427,306,1,142,115.853,38
S006,44.648,38,A,45.525,868,PASS,45.505,297,1,146,87.876,38
S006,44.467,38,A,45.343,867,PASS,45.323,297,1,146,87.881,38
S006,43.897,38,B,44.742,836,PASS,44.727,288,1,142,115.882,38
S006,44.538,38,A,45.422,875,PASS,45.409,302,1,146,87.891,38
S006,43.71,38,C,44.521,803,FAIL,44.514,279,1,146,86.375,38
S006,43.759,38,B,44.567,800,FAIL,44.551,274,1,146,86.348,38
S006,44.437,38,D,45.272,827,PASS,45.255,283,1,142,96.904,38
S006,44.47,38,D,45.332,853,PASS,45.319,294,1,146,87.871,38
S006,44.459,38,B,45.329,861,PASS,45.317,297,1,146,86.385,38
S006,44.328,38,A,45.193,856,PASS,45.175,293,1,146,87.906,38
S006,44.269,38,D,45.107,829,PASS,45.094,286,1,146,87.901,38
S006,43.949,38,B,44.835,877,PASS,44.822,302,1,142,115.887,38
S006,44.419,38,D,45.259,831,PASS,45.248,287,1,142,96.892,38
S006,44.517,38,C,45.427,901,FAIL,45.414,311,1,142,115.866,38
S006,46.556,38,A,47.351,787,FAIL,47.337,271,0,146,88.455,38
S006,44.317,38,B,45.077,752,FAIL,45.115,276,1,146,83.879,38
S006,44.692,38,C,45.603,902,FAIL,45.595,313,1,144,116.034,38
S006,44.549,38,D,45.412,854,PASS,45.391,292,1,144,98.387,38
S006,44.422,38,A,45.281,850,PASS,45.271,294,1,144,98.372,38
S006,44.508,38,A,45.438,921,FAIL,45.406,311,1,144,98.389,38
S006,44.549,38,B,45.423,865,PASS,45.409,298,1,144,117.504,38
S006,44.482,38,B,45.329,838,PASS,45.323,291,1,144,115.899,38
S006,44.572,38,D,45.41,829,PASS,45.398,286,1,144,98.384,38
S006,44.282,38,C,45.226,934,FAIL,45.21,321,0,144,117.42,38
S006,44.601,38,A,45.469,859,PASS,45.455,296,1,148,87.895,38
S006,43.616,38,A,44.42,796,FAIL,44.414,276,1,148,87.898,38
S006,44.52,38,D,45.092,566,FAIL,45.087,196,0,148,87.902,38
S006,44.504,38,C,45.354,841,PASS,45.342,290,1,148,82.384,38
S006,44.4,38,B,45.293,884,PASS,45.268,301,1,148,82.417,38
S006,43.659,38,B,44.522,854,PASS,44.518,298,1,148,82.395,38
S006,43.751,38,D,44.64,880,PASS,44.622,302,1,148,87.9,38
S006,43.652,38,C,44.463,803,FAIL,44.445,275,1,148,82.411,38
S006,44.325,38,D,45.184,850,PASS,45.168,292,1,142,98.352,38
S006,44.425,38,C,45.294,860,PASS,45.278,296,1,142,116.873,38
S006,44.046,38,A,44.873,819,PASS,44.858,281,1,142,98.363,38
S006,43.607,38,B,44.437,822,PASS,44.419,281,1,142,116.9,38
S006,44.544,38,B,45.44,887,PASS,45.423,305,1,148,82.4,38
S006,43.979,38,B,44.854,866,PASS,44.839,298,1,148,82.407,38
S006,43.844,38,B,44.706,853,PASS,44.68,290,1,148,82.4,38
S006,43.667,38,C,44.529,853,PASS,44.508,291,1,148,82.404,38
S006,44.403,38,A,45.284,872,PASS,45.266,299,1,148,87.877,38
S006,44.465,38,D,45.346,872,PASS,45.326,298,1,148,87.87,38
S006,44.532,38,B,45.412,871,PASS,45.362,288,1,148,82.401,38
S006,43.864,38,C,44.742,869,PASS,44.725,298,1,148,82.416,38
S006,44.502,38,C,45.349,838,PASS,45.332,288,1,148,82.401,38
S006,43.756,38,B,44.609,844,PASS,44.592,290,1,148,82.375,38
S006,44.548,38,C,45.454,897,FAIL,45.431,306,1,148,82.399,38
S006,44.383,38,D,45.256,864,PASS,45.24,297,1,148,87.866,38
S006,44.022,38,B,44.874,843,PASS,44.857,289,1,148,82.415,38
S006,44.527,38,A,45.429,893,FAIL,45.409,306,1,148,87.86,38
S006,44.37,38,C,45.247,868,PASS,45.228,297,1,148,82.402,38
S006,44.506,38,D,45.372,857,PASS,45.355,294,1,148,87.873,38
S006,44.564,38,A,45.461,888,PASS,45.443,305,1,148,87.871,38
S006,44.613,38,B,45.459,837,PASS,45.443,288,1,148,82.401,38
S006,43.909,38,B,44.72,803,FAIL,44.711,278,1,142,117.586,38
S006,43.622,38,C,44.519,888,PASS,44.502,305,1,142,117.426,38
S006,44.535,38,D,45.42,876,PASS,45.403,301,1,142,98.378,38
S006,44.325,38,B,45.137,804,FAIL,45.123,276,1,142,116.899,38
S006,44.599,38,B,45.493,885,PASS,45.474,303,1,142,116.882,38
S006,44.347,38,A,45.234,878,PASS,45.225,304,1,142,96.901,38
S006,44.677,38,D,45.531,845,PASS,45.514,290,1,142,98.345,38
S006,44.266,38,C,45.192,917,FAIL,45.17,313,1,142,116.874,38
S006,44.617,38,A,45.506,880,PASS,45.477,298,1,142,96.904,38
S006,44.157,38,A,45.046,880,PASS,45.024,300,1,142,98.363,38
S006,44.557,38,C,45.383,818,PASS,45.368,281,1,142,116.859,38
S006,44.569,38,D,45.417,839,PASS,45.4,288,1,142,96.961,38
